,date,avg_hourly_wage,avg_hourly_wage_lag,avg_hourly_wage_diff,USNHPI,USNHPI_diff,date_diff,avg_hourly_wage_log_diff,USNHPI_log_diff
2,2006-05-01,20.13,20.22,-0.04,184.38,0.732,30 days,-0.001985112314420334,0.003977963444496524
3,2006-06-01,20.22,20.29,0.09,184.547,0.167,31 days,0.004460973940624946,0.0009053282161852749
4,2006-07-01,20.29,20.32,0.07,184.607,0.06,30 days,0.0034559402453981924,0.0003250675898316402
5,2006-08-01,20.32,20.4,0.03,184.404,-0.203,31 days,0.001477468872557619,-0.0011002383152698414
6,2006-09-01,20.4,20.42,0.08,184.198,-0.206,31 days,0.003929278139889636,-0.0011177368622359296
7,2006-10-01,20.42,20.49,0.02,184.054,-0.144,30 days,0.0009799118863491607,-0.0007820731854257801
8,2006-11-01,20.49,20.58,0.07,183.631,-0.423,31 days,0.0034221495142885416,-0.002300883564005929
9,2006-12-01,20.58,20.59,0.09,183.228,-0.403,30 days,0.004382768155095196,-0.0021970302601532765
10,2007-01-01,20.59,20.68,0.01,182.717,-0.511,31 days,0.00048579063379472487,-0.002792771220438084
11,2007-02-01,20.68,20.72,0.09,182.469,-0.248,31 days,0.0043615286005302956,-0.001358212188444341
12,2007-03-01,20.72,20.79,0.04,182.191,-0.278,28 days,0.001932367751053654,-0.001524708242508055
13,2007-04-01,20.79,20.84,0.07,182.129,-0.062,31 days,0.003372684478639254,-0.0003403601262546019
14,2007-05-01,20.84,20.95,0.05,181.883,-0.246,30 days,0.002402115015244899,-0.0013516039990442152
15,2007-06-01,20.95,20.94,0.11,181.539,-0.344,31 days,0.005264429482980226,-0.0018931165572704245
16,2007-07-01,20.94,21.0,-0.01,180.993,-0.546,30 days,-0.00047744092575552344,-0.0030121501705977494
17,2007-08-01,21.0,21.04,0.06,180.234,-0.759,31 days,0.002861232281031967,-0.004202349862986843
18,2007-09-01,21.04,21.06,0.04,179.122,-1.112,31 days,0.001902950146086102,-0.0061888686946938165
19,2007-10-01,21.06,21.12,0.02,177.529,-1.593,30 days,0.0009501188363203461,-0.008933162075080325
20,2007-11-01,21.12,21.16,0.06,175.161,-2.368,31 days,0.0028449521322313487,-0.01342842486915874
21,2007-12-01,21.16,21.19,0.04,173.337,-1.824,30 days,0.0018921481520379757,-0.010467874453119919
22,2008-01-01,21.19,21.27,0.03,171.076,-2.261,31 days,0.0014167652901089234,-0.013129774318850984
23,2008-02-01,21.27,21.36,0.08,169.189,-1.887,31 days,0.003768256931937941,-0.011091468972495022
24,2008-03-01,21.36,21.38,0.09,167.9,-1.289,29 days,0.004222384879848384,-0.007647869154935982
25,2008-04-01,21.38,21.47,0.02,167.317,-0.583,31 days,0.0009358915049051397,-0.0034783473857524783
26,2008-05-01,21.47,21.52,0.09,167.014,-0.303,30 days,0.004200706293790546,-0.001812575459392285
27,2008-06-01,21.52,21.6,0.05,166.533,-0.481,31 days,0.0023261234028937317,-0.002884153258322364
28,2008-07-01,21.6,21.7,0.08,165.711,-0.822,30 days,0.0037105793965359624,-0.004948180717707196
29,2008-08-01,21.7,21.73,0.1,164.277,-1.434,31 days,0.00461894585629441,-0.008691279845455036
30,2008-09-01,21.73,21.76,0.03,161.911,-2.366,31 days,0.0013815337219242885,-0.014507225866510431
31,2008-10-01,21.76,21.86,0.03,159.162,-2.749,30 days,0.0013796277194040307,-0.017124250099229243
32,2008-11-01,21.86,21.95,0.1,156.071,-3.091,31 days,0.00458506076065035,-0.019611519535888355
33,2008-12-01,21.95,21.96,0.09,152.543,-3.528,30 days,0.004108656772787711,-0.02286450839994103
34,2009-01-01,21.96,21.98,0.01,149.361,-3.182,31 days,0.00045547712014970543,-0.021080329071248904
35,2009-02-01,21.98,22.05,0.02,147.616,-1.745,31 days,0.0009103323341452807,-0.01175188706863839
36,2009-03-01,22.05,22.1,0.07,146.513,-1.103,28 days,0.0031796529173799826,-0.007500145653835055
37,2009-04-01,22.1,22.12,0.05,146.941,0.428,31 days,0.002265006630851829,0.002916983946242624
38,2009-05-01,22.12,22.14,0.02,148.168,1.227,30 days,0.0009045681304269415,0.008315619452683443
39,2009-06-01,22.14,22.18,0.02,149.795,1.627,31 days,0.0009037506263567252,0.010920927568449201
40,2009-07-01,22.18,22.23,0.04,150.747,0.952,30 days,0.0018050546417303082,0.006335242222815118
41,2009-08-01,22.23,22.27,0.05,150.667,-0.08,31 days,0.0022517460538842293,-0.0005308313607104154
42,2009-09-01,22.27,22.31,0.04,149.626,-1.041,31 days,0.0017977532931712226,-0.006933256320146519
43,2009-10-01,22.31,22.34,0.04,148.582,-1.044,30 days,0.0017945271751647063,-0.007001852835964328
44,2009-11-01,22.34,22.37,0.03,147.937,-0.645,31 days,0.0013437851966133785,-0.004350486932113817
45,2009-12-01,22.37,22.4,0.03,146.665,-1.272,30 days,0.0013419818609836653,-0.008635432919563257
46,2010-01-01,22.4,22.46,0.03,145.003,-1.662,31 days,0.0013401833589559153,-0.011396642681548386
47,2010-02-01,22.46,22.46,0.06,143.056,-1.947,31 days,0.002674990449302861,-0.01351826986875615
48,2010-03-01,22.46,22.49,0.0,143.596,0.54,28 days,0.0,0.003767639079995888
49,2010-04-01,22.49,22.51,0.03,145.398,1.802,31 days,0.0013348166609272738,0.01247100877367302
50,2010-05-01,22.51,22.53,0.02,147.031,1.633,30 days,0.0008888889474167883,0.011168639052867135
51,2010-06-01,22.53,22.59,0.02,147.697,0.666,31 days,0.0008880995255120538,0.0045194289894432416
52,2010-07-01,22.59,22.62,0.06,147.559,-0.138,30 days,0.002659576035758615,-0.0009347820877403379
53,2010-08-01,22.62,22.67,0.03,146.425,-1.134,31 days,0.0013271402080627936,-0.007714743825355086
54,2010-09-01,22.67,22.73,0.05,144.606,-1.819,31 days,0.0022079938314631953,-0.01250054933609146
55,2010-10-01,22.73,22.73,0.06,143.124,-1.482,30 days,0.0026431733450142936,-0.010301415255222324
56,2010-11-01,22.73,22.76,0.0,141.811,-1.313,31 days,0.0,-0.009216202247261052
57,2010-12-01,22.76,22.87,0.03,140.62,-1.191,30 days,0.0013189713936783143,-0.008433968366255762
58,2011-01-01,22.87,22.87,0.11,139.028,-1.592,31 days,0.004821398776559516,-0.01138586507748407
59,2011-02-01,22.87,22.87,0.0,137.724,-1.304,31 days,0.0,-0.009423669206999996
60,2011-03-01,22.87,22.91,0.0,137.778,0.054,28 days,0.0,0.0003920116782563099
61,2011-04-01,22.91,22.97,0.04,139.153,1.375,31 days,0.0017474884307144833,0.009930353042909346
62,2011-05-01,22.97,23.0,0.06,140.688,1.535,30 days,0.002615520235602631,0.010970625428948999
63,2011-06-01,23.0,23.11,0.03,141.941,1.253,31 days,0.0013051992281427616,0.008866805665752153
64,2011-07-01,23.11,23.06,0.11,142.339,0.398,30 days,0.0047712083571398445,0.0028000581119842494
65,2011-08-01,23.06,23.11,-0.05,141.782,-0.557,31 days,-0.002165909445376535,-0.003920869725035914
66,2011-09-01,23.11,23.18,0.05,140.161,-1.621,31 days,0.002165909445376535,-0.011498904823520562
67,2011-10-01,23.18,23.19,0.07,138.398,-1.763,30 days,0.0030244136253161358,-0.012658169653724016
68,2011-11-01,23.19,23.22,0.01,136.653,-1.745,31 days,0.0004313133558349058,-0.012688726182191523
69,2011-12-01,23.22,23.26,0.03,135.155,-1.498,30 days,0.001292825002304987,-0.011022598061338762
70,2012-01-01,23.26,23.28,0.04,134.156,-0.999,31 days,0.0017211708207729437,-0.007418966044192565
71,2012-02-01,23.28,23.36,0.02,133.986,-0.17,31 days,0.0008594757727187208,-0.0012679850435741713
72,2012-03-01,23.36,23.39,0.08,135.855,1.869,29 days,0.0034305350967889225,0.013852823614215914
73,2012-04-01,23.39,23.41,0.03,138.461,2.606,31 days,0.0012834226360616263,0.019000557031247922
74,2012-05-01,23.41,23.46,0.02,141.037,2.576,30 days,0.0008547009067316758,0.018433569775581304
75,2012-06-01,23.46,23.49,0.05,143.158,2.121,31 days,0.0021335617225100023,0.014926648115599406
76,2012-07-01,23.49,23.48,0.03,144.272,1.114,30 days,0.0012779554454920294,0.007751491340100891
77,2012-08-01,23.48,23.57,-0.01,144.695,0.423,31 days,-0.00042580371092570957,0.0029276720327029437
78,2012-09-01,23.57,23.56,0.09,144.347,-0.348,31 days,0.003825721988143904,-0.002407955716811294
79,2012-10-01,23.56,23.63,-0.01,143.957,-0.39,30 days,-0.00042435816465369314,-0.0027054792017278118
80,2012-11-01,23.63,23.72,0.07,143.95,-0.007,31 days,0.0029667324154303287,-4.86268135295731e-05
81,2012-12-01,23.72,23.74,0.09,143.857,-0.093,30 days,0.0038014829307084774,-0.0006462664440887167
82,2013-01-01,23.74,23.78,0.02,144.301,0.444,31 days,0.0008428150519970146,0.0030816451486463947
83,2013-02-01,23.78,23.8,0.04,145.152,0.851,31 days,0.0016835020811138968,0.005880073462434687
84,2013-03-01,23.8,23.87,0.02,147.952,2.8,28 days,0.0008406894147934274,0.019106427610105392
85,2013-04-01,23.87,23.89,0.07,150.961,3.009,31 days,0.0029368596733094776,0.02013362847440181
86,2013-05-01,23.89,23.96,0.02,153.851,2.89,30 days,0.0008375209869795341,0.018963076274746804
87,2013-06-01,23.96,23.98,0.07,156.417,2.566,31 days,0.0029258119095305624,0.016540916272009376
88,2013-07-01,23.98,24.02,0.02,158.276,1.859,30 days,0.0008343763521194703,0.01181482667099143
89,2013-08-01,24.02,24.06,0.04,159.383,1.107,31 days,0.0016666670524694283,0.006969766203908989
90,2013-09-01,24.06,24.09,0.04,159.663,0.28,31 days,0.0016638938946953452,0.0017552332383816704
91,2013-10-01,24.09,24.16,0.03,159.55,-0.113,30 days,0.0012461060802468893,-0.0007079912454699411
92,2013-11-01,24.16,24.18,0.07,159.361,-0.189,31 days,0.002901556439834252,-0.0011852838072510252
93,2013-12-01,24.18,24.22,0.02,159.278,-0.083,30 days,0.0008274721200325352,-0.000520965744163604
94,2014-01-01,24.22,24.33,0.04,159.364,0.086,31 days,0.0016528929382997326,0.0005397907500466204
95,2014-02-01,24.33,24.31,0.11,159.865,0.501,31 days,0.00453141867048501,0.0031388151535587383
96,2014-03-01,24.31,24.34,-0.02,161.178,1.313,28 days,-0.0008223684673995812,0.008179635255530116
97,2014-04-01,24.34,24.4,0.03,162.954,1.776,31 days,0.0012332992313495161,0.010958608057494601
98,2014-05-01,24.4,24.46,0.06,164.667,1.713,30 days,0.00246204473977496,0.010457300419793647
99,2014-06-01,24.46,24.48,0.06,166.197,1.53,31 days,0.002455997959870171,0.009248578907656402
100,2014-07-01,24.48,24.54,0.02,167.122,0.925,30 days,0.0008173273850990981,0.005550252908323117
101,2014-08-01,24.54,24.56,0.06,167.437,0.315,31 days,0.0024479816386397957,0.0018830764862514116
102,2014-09-01,24.56,24.59,0.02,167.228,-0.209,31 days,0.0008146639961763569,-0.0012490103666085162
103,2014-10-01,24.59,24.66,0.03,166.896,-0.332,30 days,0.0012207529491594649,-0.001987286811268696
104,2014-11-01,24.66,24.63,0.07,166.644,-0.252,31 days,0.002842641508097099,-0.0015110634283717062
105,2014-12-01,24.63,24.74,-0.03,166.445,-0.199,30 days,-0.0012172856037517832,-0.0011948759861573066
106,2015-01-01,24.74,24.79,0.11,166.23,-0.215,31 days,0.004456154831895542,-0.0012925529717184858
107,2015-02-01,24.79,24.85,0.05,166.609,0.379,31 days,0.0020189790827571663,0.0022773783349032684
108,2015-03-01,24.85,24.89,0.06,168.068,1.459,28 days,0.0024174064955384544,0.008718909531747698
109,2015-04-01,24.89,24.97,0.04,169.953,1.885,31 days,0.0016083638368629138,0.01115326882296852
110,2015-05-01,24.97,24.97,0.08,171.835,1.882,30 days,0.0032089879121812714,0.011012785825927018
111,2015-06-01,24.97,25.01,0.0,173.434,1.599,31 days,0.0,0.009262409494036561
112,2015-07-01,25.01,25.1,0.04,174.477,1.043,30 days,0.001600640597846148,0.005995804240874314
113,2015-08-01,25.1,25.11,0.09,174.916,0.439,31 days,0.003592101248210522,0.0025129308888116597
114,2015-09-01,25.11,25.2,0.01,175.021,0.105,31 days,0.0003983270317551302,0.0006001080374531398
115,2015-10-01,25.2,25.25,0.09,175.025,0.004,30 days,0.0035778213478838694,2.28541391713577e-05
116,2015-11-01,25.25,25.25,0.05,175.115,0.09,31 days,0.001982161203991417,0.0005140800935743428
117,2015-12-01,25.25,25.37,0.0,175.088,-0.027,30 days,0.0,-0.00015419628074830882
118,2016-01-01,25.37,25.38,0.12,175.011,-0.077,31 days,0.004741217889821847,-0.0004398755851440228
119,2016-02-01,25.38,25.45,0.01,175.259,0.248,31 days,0.0003940886750508632,0.0014160507119695964
120,2016-03-01,25.45,25.53,0.07,176.582,1.323,29 days,0.002754280710290047,0.0075204779174011804
121,2016-04-01,25.53,25.58,0.08,178.478,1.896,31 days,0.0031384882568610273,0.010679986603840952
122,2016-05-01,25.58,25.62,0.05,180.327,1.849,30 days,0.001956564897303892,0.01030652508961527
123,2016-06-01,25.62,25.69,0.04,181.899,1.572,31 days,0.0015625003178918462,0.008679718569081452
124,2016-07-01,25.69,25.71,0.07,183.002,1.103,30 days,0.002728514653203895,0.006045493760597154
125,2016-08-01,25.71,25.77,0.02,183.64,0.638,31 days,0.0007782101560058763,0.0034802376375724364
126,2016-09-01,25.77,25.9,0.06,183.926,0.286,31 days,0.0023310033864754054,0.0015561834213029258
127,2016-10-01,25.9,25.9,0.13,183.995,0.069,30 days,0.005031944041218317,0.0003750805244004951
128,2016-11-01,25.9,25.93,0.0,184.205,0.21,31 days,0.0,0.0011406845343309158
129,2016-12-01,25.93,26.0,0.03,184.377,0.172,30 days,0.0011576308450811368,0.0009333066318220062
130,2017-01-01,26.0,26.07,0.07,184.63,0.253,31 days,0.0026959384709090983,0.0013712479147738321
131,2017-02-01,26.07,26.11,0.07,184.997,0.367,31 days,0.0026886899239282336,0.001985786322972416
132,2017-03-01,26.11,26.18,0.04,186.507,1.51,28 days,0.0015331547656272093,0.008129163160945474
133,2017-04-01,26.18,26.21,0.07,188.522,2.015,31 days,0.002677377770716305,0.010745939061642673
134,2017-05-01,26.21,26.26,0.03,190.517,1.995,30 days,0.0011452568535612606,0.010526718477138708
135,2017-06-01,26.26,26.35,0.05,192.243,1.726,31 days,0.0019058515393348685,0.009018767369231462
136,2017-07-01,26.35,26.37,0.09,193.487,1.244,30 days,0.00342140611272157,0.006450129950811956
137,2017-08-01,26.37,26.49,0.02,194.32,0.833,31 days,0.0007587253778238434,0.004295957943522666
138,2017-09-01,26.49,26.5,0.12,194.788,0.468,31 days,0.004540302918782935,0.0024055029743479395
139,2017-10-01,26.5,26.54,0.01,195.052,0.264,30 days,0.000377429708198207,0.0013544020129128143
140,2017-11-01,26.54,26.63,0.04,195.416,0.364,31 days,0.0015082959118850603,0.0018644298915226898
141,2017-12-01,26.63,26.72,0.09,195.811,0.395,30 days,0.0033853709217792627,0.002019288720966017
142,2018-01-01,26.72,26.74,0.09,196.083,0.272,31 days,0.003373948842603891,0.001388130686749811
143,2018-02-01,26.74,26.85,0.02,196.875,0.792,31 days,0.0007482230053521555,0.0040309705994809875
144,2018-03-01,26.85,26.91,0.11,198.542,1.667,28 days,0.004105249281076695,0.008431655067759891
145,2018-04-01,26.91,26.98,0.06,200.581,2.039,31 days,0.0022321437839409874,0.010217490541905683
146,2018-05-01,26.98,27.03,0.07,202.418,1.837,30 days,0.0025978860407951387,0.009116711075783712
147,2018-06-01,27.03,27.1,0.05,204.01,1.592,31 days,0.0018515095087465738,0.007834145985291308
148,2018-07-01,27.1,27.21,0.07,204.919,0.909,30 days,0.0025863675972988,0.0044457668553041785
149,2018-08-01,27.21,27.32,0.11,205.297,0.378,31 days,0.004050824909499706,0.0018429320503665636
150,2018-09-01,27.32,27.37,0.11,205.343,0.046,31 days,0.004034481907434273,0.00022404052304825228
151,2018-10-01,27.37,27.44,0.05,205.339,-0.004,30 days,0.0018284883499988247,-1.9479792150889352e-05
152,2018-11-01,27.44,27.56,0.07,205.076,-0.263,31 days,0.002554279805096371,-0.001281629745500723
153,2018-12-01,27.56,27.59,0.12,204.666,-0.41,30 days,0.004363643287773389,-0.0020012599969678746
154,2019-01-01,27.59,27.69,0.03,204.168,-0.498,31 days,0.0010879420837368592,-0.002436197803044493
155,2019-02-01,27.69,27.77,0.1,204.394,0.226,31 days,0.0036179489536758425,0.0011063193495770562
156,2019-03-01,27.77,27.79,0.08,205.741,1.347,28 days,0.00288496413583772,0.006568592503350068
157,2019-04-01,27.79,27.88,0.02,207.654,1.913,31 days,0.0007199424357042794,0.009255136879851023
158,2019-05-01,27.88,27.97,0.09,209.317,1.663,30 days,0.003233342137910711,0.007976616203764664
159,2019-06-01,27.97,28.03,0.09,210.551,1.234,31 days,0.0032229213215453356,0.0058780547841070785
160,2019-07-01,28.03,28.14,0.06,211.302,0.751,30 days,0.002142857962828426,0.0035604857302065085
161,2019-08-01,28.14,28.16,0.11,211.66,0.358,31 days,0.003916686509546352,0.0016928238730287148
162,2019-09-01,28.16,28.24,0.02,211.839,0.179,31 days,0.0007104796035983796,0.0008453385281166348
163,2019-10-01,28.24,28.34,0.08,211.934,0.095,30 days,0.00283688133519977,0.0004483532532342238
164,2019-11-01,28.34,28.38,0.1,212.074,0.14,31 days,0.0035348216374928576,0.0006603649227736597
165,2019-12-01,28.38,28.43,0.04,212.205,0.131,30 days,0.0014104374693624244,0.0006175182093048903
166,2020-01-01,28.43,28.54,0.05,212.363,0.158,31 days,0.001760253931011757,0.0007442859909074784
167,2020-02-01,28.54,28.73,0.11,213.181,0.818,31 days,0.0038616863857821038,0.0038444955516379054
168,2020-03-01,28.73,30.04,0.19,215.157,1.976,29 days,0.00663526094250777,0.009226424074180173
169,2020-04-01,30.04,29.72,1.31,217.204,2.047,31 days,0.04458795390473558,0.00946900990073285
170,2020-05-01,29.72,29.38,-0.32,218.452,1.248,30 days,-0.010709607046375691,0.005729306672206391
171,2020-06-01,29.38,29.39,-0.34,219.778,1.326,31 days,-0.01150604910382702,0.0060516351996007245
172,2020-07-01,29.39,29.49,0.01,221.533,1.755,30 days,0.00034030968509490833,0.007953616618519455
173,2020-08-01,29.49,29.51,0.1,224.012,2.479,31 days,0.0033967423963585652,0.011128059261920953
174,2020-09-01,29.51,29.54,0.02,226.762,2.75,31 days,0.0006779661276636872,0.01220138746618371
175,2020-10-01,29.54,29.64,0.03,229.77,3.008,30 days,0.0010160881483853856,0.01317779927471463
176,2020-11-01,29.64,29.91,0.1,232.273,2.503,31 days,0.0033795233246523004,0.010834595417430926
177,2020-12-01,29.91,29.93,0.27,234.321,2.048,30 days,0.00906807221397088,0.008778566171474544
178,2021-01-01,29.93,30.05,0.02,236.394,2.073,31 days,0.0006684492227506666,0.008807934320670618
179,2021-02-01,30.05,30.03,0.12,239.175,2.781,31 days,0.004001339116609159,0.011695597065043195
180,2021-03-01,30.03,30.22,-0.02,244.173,4.998,28 days,-0.0006657789859776386,0.02068148888903565
181,2021-04-01,30.22,30.41,0.19,249.783,5.61,31 days,0.006307074849354333,0.022715550478847213
182,2021-05-01,30.41,30.54,0.19,255.407,5.624,30 days,0.00626754484467984,0.022265810278203624
183,2021-06-01,30.54,30.66,0.13,261.126,5.719,31 days,0.004265798101213303,0.022144698242612115
184,2021-07-01,30.66,30.78,0.12,265.456,4.33,30 days,0.003921573653181465,0.01644605244807007
185,2021-08-01,30.78,30.98,0.12,268.725,3.269,31 days,0.0039062549670649815,0.012239449958127757
186,2021-09-01,30.98,31.14,0.2,271.373,2.648,31 days,0.006476706577989599,0.009805706436537776
187,2021-10-01,31.14,31.23,0.16,273.577,2.204,30 days,0.005151331417129867,0.008088859591641295
188,2021-11-01,31.23,31.39,0.09,275.943,2.366,31 days,0.002886004889134597,0.008611204762162039
189,2021-12-01,31.39,31.6,0.16,278.516,2.573,30 days,0.005110199558875372,0.009281185696011995
190,2022-01-01,31.6,31.64,0.21,281.895,3.379,31 days,0.00666774973900397,0.012059152831192854
191,2022-02-01,31.64,31.8,0.04,287.114,5.219,31 days,0.0012650223065868715,0.01834468825848301
192,2022-03-01,31.8,31.96,0.16,294.908,7.794,28 days,0.005044146886677758,0.02678409385806635
193,2022-04-01,31.96,32.1,0.16,301.525,6.617,31 days,0.005018831111943012,0.02218948817608357
194,2022-05-01,32.1,32.19,0.14,306.287,4.762,30 days,0.004370909237896292,0.015669639418455894
195,2022-06-01,32.19,32.34,0.09,308.082,1.795,31 days,0.0027998151747463673,0.00584341041812575
196,2022-07-01,32.34,32.44,0.15,306.917,-1.165,30 days,0.00464900883824404,-0.0037886285782748885
197,2022-08-01,32.44,32.57,0.1,303.493,-3.424,31 days,0.0030873750982514103,-0.011218806744455634
198,2022-09-01,32.57,32.7,0.13,300.326,-3.167,31 days,0.003999390040930084,-0.010489994655132229
199,2022-10-01,32.7,32.82,0.13,298.542,-1.784,30 days,0.003983458615065771,-0.005957924875592546
200,2022-11-01,32.82,32.94,0.12,296.727,-1.815,31 days,0.003663007758736736,-0.006098102284875395
201,2022-12-01,32.94,33.02,0.12,294.22,-2.507,30 days,0.003649639087549339,-0.008484737345491489
202,2023-01-01,33.02,33.15,0.08,292.712,-1.508,31 days,0.0024257137424879005,-0.005138596356132119
203,2023-02-01,33.15,33.27,0.13,293.507,0.795,31 days,0.003929278139889636,0.002712298602987495
204,2023-03-01,33.27,33.43,0.12,297.428,3.921,28 days,0.003613373398513975,0.013270689819247394
205,2023-04-01,33.43,33.5,0.16,301.542,4.114,31 days,0.0047976104016216325,0.013737131059829544
206,2023-05-01,33.5,33.69,0.07,305.409,3.867,30 days,0.002091738399013554,0.012742551950449155
207,2023-06-01,33.69,33.85,0.19,308.369,2.96,31 days,0.005655618587440792,0.009645255931628682
208,2023-07-01,33.85,33.89,0.16,310.292,1.923,30 days,0.004737941939822576,0.006216671790137518
209,2023-08-01,33.89,34.01,0.04,311.655,1.363,31 days,0.0011809862606759758,0.004383017144645507
210,2023-09-01,34.01,34.08,0.12,312.511,0.856,31 days,0.0035346134001437157,0.002742861792091489
211,2023-10-01,34.08,34.17,0.07,312.863,0.352,30 days,0.0020561029420109733,0.0011257264842257086
212,2023-11-01,34.17,34.29,0.09,312.104,-0.759,31 days,0.0026373641660857317,-0.0024289294415735796
213,2023-12-01,34.29,34.47,0.12,310.922,-1.182,30 days,0.0035057003476284265,-0.0037943887354368044
214,2024-01-01,34.47,34.52,0.18,310.786,-0.136,31 days,0.005235614053944904,-0.00043750443027690267
215,2024-02-01,34.52,34.65,0.05,312.709,1.923,31 days,0.0014494856864533112,0.006168473195513613
216,2024-03-01,34.65,34.76,0.13,316.884,4.175,29 days,0.003758859420685212,0.013262730679569401
217,2024-04-01,34.76,34.89,0.11,320.81,3.926,31 days,0.0031695747612787706,0.012313271267373693
218,2024-05-01,34.89,35.01,0.13,323.748,2.938,30 days,0.003732954801491495,0.009116387812142968
219,2024-06-01,35.01,35.08,0.12,325.3,1.552,31 days,0.003433479767891434,0.0047823980908168195
220,2024-07-01,35.08,35.22,0.07,325.622,0.322,30 days,0.0019974325374083612,0.0009893659340622918
221,2024-08-01,35.22,35.34,0.14,325.068,-0.554,31 days,0.003982935564077472,-0.0017028082001040445
222,2024-09-01,35.34,35.46,0.12,324.696,-0.372,31 days,0.003401363823490655,-0.0011450312440945964
223,2024-10-01,35.46,35.6,0.12,324.014,-0.682,30 days,0.0033898337545110735,-0.0021026352338164855
224,2024-11-01,35.6,35.69,0.14,323.732,-0.282,31 days,0.003940337211923328,-0.0008707117228548
225,2024-12-01,35.69,35.84,0.09,323.341,-0.391,30 days,0.0025248996440838667,-0.0012085191240824855
226,2025-01-01,35.84,35.94,0.15,323.671,0.33,31 days,0.004194050604660937,0.0010200739047041552
227,2025-02-01,35.94,36.11,0.1,325.122,1.451,31 days,0.0027862932486830694,0.0044729287128255635
228,2025-03-01,36.11,36.12,0.17,327.74,2.618,28 days,0.004718953933953607,0.008020114612133256
229,2025-04-01,36.12,36.28,0.01,329.906,2.166,31 days,0.00027689325941793186,0.006587154280564
230,2025-05-01,36.28,36.36,0.16,331.423,1.517,30 days,0.004419896698151682,0.004587739720276929
231,2025-06-01,36.36,36.47,0.08,331.611,0.188,31 days,0.002202644062342163,0.0005670900890102359
232,2025-07-01,36.47,36.62,0.11,330.966,-0.645,30 days,0.003020735511310768,-0.0019469441400605803
233,2025-08-01,36.62,36.7,0.15,329.865,-1.101,31 days,0.004104534425775519,-0.0033321712169476214
234,2025-09-01,36.7,36.85,0.08,328.971,-0.894,31 days,0.0021822158141602266,-0.0027138788672838032
235,2025-10-01,36.85,37.0,0.15,328.558,-0.413,30 days,0.00407886357482079,-0.0012562185221103306
236,2025-11-01,37.0,37.02,0.15,328.353,-0.205,31 days,0.004062294008878808,-0.0006241332742327188
237,2025-12-01,37.02,0.0,0.02,327.455,-0.898,30 days,0.0005403945011273059,-0.0027386081330149636
